id	quantity_jp	quantity_en	unit	type	base	conversion	denominator	offset	created_at	updated_at
1	Null	Null	Null						2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1000	時間	Time	s	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1001	時間	Time	ns	Real	1000	0.000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1002	時間	Time	µs	Real	1000	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1003	時間	Time	ms	Real	1000	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1004	時間:分	Time: Minute	min	Real	1000	60	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1005	時間:時	Time: Hour	h	Real	1000	3600	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1006	時間:日	Time: Day	day	Real	1000	86400	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1090	時間	Time	sec	Real	1000				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1091	時間	Time	hour	Real	1005				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1100	周波数	Frequency	Hz	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1101	周波数/頻度	Frequency	cps	Real	1100	1	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1102	周波数/頻度	Frequency	cpm	Real	1101	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1103	周波数/頻度	Frequency	spm	Real	1100	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1110	周波数/頻度	Frequency	cycle/s	Real	1101				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1111	周波数/頻度	Frequency	cycle/min	Real	1102				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1112	周波数/頻度	Frequency	shot/min	Real	1103				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1120	回転数	Number of Rotations	rps	Real	1100	1	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1121	回転数	Number of Rotations	rpm	Real	1120	1	60	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1200	平面角	Plane Angle	rad	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1201	平面角:度	Plane Angle: Degrees	°	Real	1200	3.141592654	180	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1202	平面角:分	Plane Angle: Minutes	'	Real	1200	3.141592654	10800	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1203	平面角:秒	Plane Angle: Seconds	""""	Real	1200	3.141592654	648000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1290	平面角:度	Plane Angle: Degrees	deg	Real	1201				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1291	平面角:度	Plane Angle: Degrees	degree	Real	1201				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1300	立体角	Solid Angle	sr	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1400	力	Force/Weight	N	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1401	力	Force/Weight	µN	Real	1400	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1402	力	Force/Weight	mN	Real	1400	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1403	力	Force/Weight	kN	Real	1400	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1404	力	Force/Weight	dyn	Real	1400	0.00001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1405	力	Force/Weight	kgf	Real	1400	9.80665	1000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1406	力:プレス	Force: Press	ton	Real	1400	9.80665	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1420	モーメント/トルク	Moment of Force/Torque	N·m	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1421	モーメント/トルク	Moment of Force/Torque	N·cm	Real	1420	100	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1422	モーメント/トルク	Moment of Force/Torque	kg·m	Real	1420	9.80665	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1423	モーメント/トルク	Moment of Force/Torque	kg·cm	Real	1420	9.80665	100	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1425	モーメント/トルク	Moment of Force/Torque	Nm	Real	1420				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1426	モーメント/トルク	Moment of Force/Torque	Ncm	Real	1421				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1427	モーメント/トルク	Moment of Force/Torque	kgm	Real	1422				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1428	モーメント/トルク	Moment of Force/Torque	kgcm	Real	1423				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1430	モーメント/トルク	Moment of Force/Torque	N m	Real	1420				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1431	モーメント/トルク	Moment of Force/Torque	N cm	Real	1421				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1432	モーメント/トルク	Moment of Force/Torque	kg m	Real	1422				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1433	モーメント/トルク	Moment of Force/Torque	kg cm	Real	1423				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1435	モーメント/トルク	Moment of Force/Torque	N・m	Real	1420				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1436	モーメント/トルク	Moment of Force/Torque	N・cm	Real	1421				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1437	モーメント/トルク	Moment of Force/Torque	kg・m	Real	1422				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1438	モーメント/トルク	Moment of Force/Torque	kg・cm	Real	1423				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1440	モーメント/トルク	Moment of Force/Torque	N*m	Real	1425				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1441	モーメント/トルク	Moment of Force/Torque	N*cm	Real	1426				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1442	モーメント/トルク	Moment of Force/Torque	kg*m	Real	1427				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1443	モーメント/トルク	Moment of Force/Torque	kg*cm	Real	1428				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1445	モーメント/トルク	Moment of Force/Torque	N-m	Real	1425				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1446	モーメント/トルク	Moment of Force/Torque	N-cm	Real	1426				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1447	モーメント/トルク	Moment of Force/Torque	kg-m	Real	1427				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1448	モーメント/トルク	Moment of Force/Torque	kg-cm	Real	1428				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1450	慣性モーメント	Moment of Inertia	kg·m2	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1451	慣性モーメント	Moment of Inertia	kg·cm2	Real	1450	0.0001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1452	慣性モーメント	Moment of Inertia	g·cm2	Real	1450	0.0000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1455	慣性モーメント	Moment of Inertia	kgm2	Real	1450				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1456	慣性モーメント	Moment of Inertia	kgcm2	Real	1451				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1457	慣性モーメント	Moment of Inertia	gcm2	Real	1452				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1460	慣性モーメント	Moment of Inertia	kg m2	Real	1450				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1461	慣性モーメント	Moment of Inertia	kg cm2	Real	1451				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1462	慣性モーメント	Moment of Inertia	g cm2	Real	1452				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1465	慣性モーメント	Moment of Inertia	kg・m2	Real	1450				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1466	慣性モーメント	Moment of Inertia	kg・cm2	Real	1451				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1467	慣性モーメント	Moment of Inertia	g・cm2	Real	1452				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1470	慣性モーメント	Moment of Inertia	kg*m2	Real	1455				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1471	慣性モーメント	Moment of Inertia	kg*cm2	Real	1456				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1472	慣性モーメント	Moment of Inertia	g*cm2	Real	1457				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1475	慣性モーメント	Moment of Inertia	kg-m2	Real	1455				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1476	慣性モーメント	Moment of Inertia	kg-cm2	Real	1456				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1477	慣性モーメント	Moment of Inertia	g-cm2	Real	1457				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1500	圧力/応力	Pressure/Stress	Pa	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1501	圧力/応力	Pressure/Stress	mPa	Real	1500	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1502	圧力/応力	Pressure/Stress	hPa	Real	1500	100	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1503	圧力/応力	Pressure/Stress	kPa	Real	1500	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1504	圧力/応力	Pressure/Stress	MPa	Real	1500	1000000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1505	圧力/応力	Pressure/Stress	GPa	Real	1500	1000000000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1510	圧力/応力	Pressure/Stress	dyn/cm2	Real	1500	0.00001	0.0001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1511	圧力/応力	Pressure/Stress	kgf/cm2	Real	1500	98066.5	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1512	圧力/応力	Pressure/Stress	psi	Real	1500	6896.55	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1513	圧力/応力	Pressure/Stress	atm	Real	1500	101325	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1514	圧力/応力	Pressure/Stress	Torr	Real	1500	133.322	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1515	圧力/応力	Pressure/Stress	mTorr	Real	1500	0.133322	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1530	圧力/応力	Pressure/Stress	N/m2	Real	1500				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1531	圧力/応力	Pressure/Stress	mmHg	Real	1514				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1532	圧力/応力	Pressure/Stress	pz	Real	1503				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1540	圧力減衰速度	Pressure Decay Rate	Pa/s	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1541	圧力減衰速度	Pressure Decay Rate	kPa/s	Real	1540	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1542	圧力減衰速度	Pressure Decay Rate	MPa/s	Real	1540	1000000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1600	エネルギ/仕事/熱量	Energy/Work/Heat	J	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1601	エネルギ/仕事/熱量	Energy/Work/Heat	µJ	Real	1600	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1602	エネルギ/仕事/熱量	Energy/Work/Heat	mJ	Real	1600	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1603	エネルギ/仕事/熱量	Energy/Work/Heat	kJ	Real	1600	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1610	エネルギ:電子ボルト	Energy: Electron Volt	eV	Real	1600	0.00000000000000000016021765314	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1611	エネルギ:電子ボルト	Energy: Electron Volt	keV	Real	1600	0.00000000000000000016021765314	0.001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1612	エネルギ:電子ボルト	Energy: Electron Volt	MeV	Real	1600	0.00000000000000000016021765314	0.000001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1613	エネルギ:ワット時	Energy: Watt Hour	Wh	Real	1600	3.6	0.001		2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1614	エネルギ:ワット時	Energy: Watt Hour	kWh	Real	1600	3.6	0.000001		2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1615	エネルギ:カロリ	Heat: Calorie	cal	Real	1600	4.184	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1616	エネルギ:カロリ	Heat: Calorie	kcal	Real	1600	4.184	0.001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1650	比エネルギ	Specific Energy	J/kg	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1651	比エネルギ	Specific Energy	J/g	Real	1650	1	0.001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1660	エネルギ密度	Energy Density	J/m3	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1661	エネルギ密度	Energy Density	J/cm3	Real	1660	1	0.000001	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1700	仕事率/工率/放射束	Power/Radiant Flux	W	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1701	仕事率/工率/放射束	Power/Radiant Flux	µW	Real	1700	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1702	仕事率/工率/放射束	Power/Radiant Flux	mW	Real	1700	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1703	仕事率/工率/放射束	Power/Radiant Flux	kW	Real	1700	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1704	馬力	Horsepower	hp	Real	1700	735.498	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1800	熱流束密度/放射照度	Heat Flux Density/Irradiance	W/m2	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1801	熱流束密度/放射照度	Heat Flux Density/Irradiance	µW/m2	Real	1800	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1802	熱流束密度/放射照度	Heat Flux Density/Irradiance	mW/m2	Real	1800	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1810	熱流束密度/放射照度	Heat Flux Density/Irradiance	kcal/m2·h	Real	1800	4.184	3.6	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1811	熱流束密度/放射照度	Heat Flux Density/Irradiance	kcal/m2 h	Real	1810				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1812	熱流束密度/放射照度	Heat Flux Density/Irradiance	kcal/m2・h	Real	1810				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1813	熱流束密度/放射照度	Heat Flux Density/Irradiance	kcal/m2*h	Real	1810				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
1814	熱流束密度/放射照度	Heat Flux Density/Irradiance	kcal/m2-h	Real	1810				2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2000	長さ	Length	m	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2001	長さ	Length	nm	Real	2000	0.000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2002	長さ	Length	µm	Real	2000	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2003	長さ	Length	mm	Real	2000	0.001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2004	長さ	Length	cm	Real	2000	0.1	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2005	長さ	Length	km	Real	2000	1000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2020	長さ:インチ	Length: inch	in	Real	2000	25.4	1000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2021	長さ:ミル	Length: mil	mil	Real	2000	25.4	1000000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2022	長さ:ポイント	Length: point	pt	Real	2000	3	8000	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2023	長さ:フィート	Length: feet	ft	Real	2000	0.3048	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2024	長さ:ヤード	Length: yard	yd	Real	2000	0.9144	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2025	長さ:マイル	Length: mile	mile	Real	2000	1609.344	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2100	面積	Area	m2	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2101	面積	Area	nm2	Real	2100	0.000000000000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2102	面積	Area	µm2	Real	2100	0.000000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2103	面積	Area	mm2	Real	2100	0.000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2104	面積	Area	cm2	Real	2100	0.01	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2105	面積	Area	km2	Real	2100	1000000	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2200	体積	Volume	m3	Real					2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2201	体積	Volume	nm3	Real	2200	0.000000000000000000000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
2202	体積	Volume	µm3	Real	2200	0.000000000000000001	1	0	2024-02-16 05:43:41.176647	2024-02-16 05:43:41.176647
